,placeID,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,y0,y1
0,0,-100,-100,-100,-100,-82,-82,-100,-100,-100,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-85,-83,-83,-90,-100,-100,-100,-100,-91,-100,-84,-85,-83,-83,-83,-88,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-86,-100,-100,-100,-78,-100,-100,-89,-100,-100,-100,-100,-80,-92,-100,-100,-100,-87,-87,-100,-100,-100,-100,-71,-71,-60,-100,-78,-100,-100,-86,-86,0.6,0.6
1,1,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1.2,0.6
2,2,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-85,-83,-83,-82,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-74,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-69,-66,-100,-100,-100,-100,-86,-86,1.8,0.6
3,3,-100,-100,-100,-100,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-85,-83,-83,-82,-100,-100,-100,-100,-100,-100,-83,-84,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-80,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-75,-69,-100,-81,-100,-100,-86,-86,0.6,1.2
4,4,-100,-100,-100,-100,-80,-82,-100,-100,-100,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-91,-100,-84,-85,-83,-83,-83,-88,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-86,-100,-100,-100,-75,-100,-100,-89,-100,-100,-100,-100,-72,-89,-100,-100,-100,-87,-87,-100,-100,-100,-100,-71,-71,-65,-63,-83,-100,-100,-100,-100,1.8,1.2
5,5,-100,-100,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-85,-83,-83,-90,-100,-100,-100,-100,-91,-100,-84,-85,-83,-83,-83,-89,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-80,-92,-100,-100,-100,-100,-91,-100,-100,-100,-100,-68,-68,-64,-100,-78,-100,-100,-86,-86,0.6,1.8
6,6,-100,-100,-100,-100,-81,-85,-100,-100,-100,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-90,-100,-100,-100,-100,-91,-86,-86,-85,-83,-84,-83,-88,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-86,-100,-100,-100,-80,-100,-100,-89,-100,-100,-84,-85,-73,-89,-100,-100,-100,-87,-87,-100,-100,-100,-100,-68,-68,-65,-64,-83,-100,-100,-100,-100,1.8,1.8
7,7,-100,-100,-100,-100,-80,-79,-100,-100,-100,-100,-88,-87,-100,-100,-100,-100,-100,-100,-84,-84,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-83,-83,-81,-79,-83,-100,-100,-100,-100,-100,-82,-82,-85,-83,-84,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-83,-100,-100,-100,-82,-100,-100,-87,-100,-100,-100,-88,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-68,-66,-65,-84,-100,-100,-80,-78,2.4,1.8
8,8,-100,-100,-100,-100,-86,-85,-100,-100,-100,-100,-88,-87,-100,-100,-100,-100,-100,-100,-88,-88,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-83,-85,-84,-83,-100,-100,-100,-100,-100,-100,-83,-85,-85,-89,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-78,-100,-100,-100,-80,-100,-100,-87,-100,-100,-100,-88,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-72,-67,-67,-83,-100,-100,-82,-82,0.6,2.4
9,9,-100,-100,-100,-100,-81,-86,-100,-100,-100,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-86,-86,-85,-100,-84,-83,-88,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-86,-100,-100,-100,-84,-86,-100,-89,-100,-85,-84,-85,-69,-89,-100,-100,-100,-87,-87,-100,-100,-100,-100,-71,-71,-65,-64,-84,-100,-100,-83,-70,1.8,2.4
